SRC	TRG	PINYIN_STR	PINYIN_CHAR
kartman	卡特曼	ka te man	k a t e m a n
persse	珀斯	po si	p o s i
macraith	麦克雷思	mai ke lei si	m a i k e l e i s i
hudak	赫达克	he da ke	h e d a k e
kraus	克劳斯	ke lao si	k e l a o s i
grosschmid	格罗施米德	ge luo shi mi de	g e l u o s h i m i d e
brasco	布拉斯科	bu la si ke	b u l a s i k e
nagelvoort	内格尔伍特	nei ge er wu te	n e i g e e r w u t e
stachnik	斯塔赫尼克	si ta he ni ke	s i t a h e n i k e
pettyjohn	佩蒂约翰	pei di yue han	p e i d i y u e h a n
haskel	哈斯克尔	ha si ke er	h a s i k e e r
ingersoll	英格索尔	ying ge suo er	y i n g g e s u o e r
gilbertson	吉尔伯森	ji er bo sen	j i e r b o s e n
amabilla	阿玛比拉	a ma bi la	a m a b i l a
freeden	弗里登	fu li deng	f u l i d e n g
buxo	布克索	bu ke suo	b u k e s u o
ziffren	齐弗伦	qi fu lun	q i f u l u n
orson	奥森	ao sen	a o s e n
blown	布洛恩	bu luo en	b u l u o e n
zeffert	泽弗特	ze fu te	z e f u t e
aurbach	奥尔巴克	ao er ba ke	a o e r b a k e
angharad	安加拉德	an jia la de	a n j i a l a d e
butwin	巴特温	ba te wen	b a t e w e n
battaglia	巴塔利亚	ba ta li ya	b a t a l i y a
rippy	里庇	li bi	l i b i
buchholz	巴克霍尔兹	ba ke huo er zi	b a k e h u o e r z i
grunfeld	格伦费尔德	ge lun fei er de	g e l u n f e i e r d e
emere	埃米尔	ai mi er	a i m i e r
hanaford	哈纳福德	ha na fu de	h a n a f u d e
alcester	奥尔斯特	ao er si te	a o e r s i t e
scollin	斯科林	si ke lin	s i k e l i n
goldforb	戈德福布	ge de fu bu	g e d e f u b u
thorpe	索普	suo pu	s u o p u
karner	卡纳	ka na	k a n a
bering	贝林	bei lin	b e i l i n
baufield	鲍菲尔德	bao fei er de	b a o f e i e r d e
hargood	海古德	hai gu de	h a i g u d e
verlander	弗兰德	fu lan de	f u l a n d e
marcia	马西娅	ma xi ya	m a x i y a
frankeberger	弗兰克伯格	fu lan ke bo ge	f u l a n k e b o g e
kanareck	卡纳雷克	ka na lei ke	k a n a l e i k e
gottsegen	戈特塞根	ge te sai gen	g e t e s a i g e n
luzzatto	卢扎托	lu zha tuo	l u z h a t u o
mcnaught	麦克诺特	mai ke nuo te	m a i k e n u o t e
popejoy	波普乔伊	bo pu qiao yi	b o p u q i a o y i
stuit	斯图伊特	si tu yi te	s i t u y i t e
grierson	格里尔森	ge li er sen	g e l i e r s e n
fastow	法斯托	fa si tuo	f a s i t u o
capey	卡皮	ka pi	k a p i
loydall	劳埃德尔	lao ai de er	l a o a i d e e r
cown	科恩	ke en	k e e n
bardoux	巴杜	ba du	b a d u
ciraldo	西拉尔多	xi la er duo	x i l a e r d u o
anice	安妮斯	an ni si	a n n i s i
brade	布雷德	bu lei de	b u l e i d e
pawell	帕韦尔	pa wei er	p a w e i e r
lipyeat	利皮亚特	li pi ya te	l i p i y a t e
osmers	奥斯默斯	ao si mo si	a o s i m o s i
catchpool	卡奇普尔	ka qi pu er	k a q i p u e r
zeug	佐格	zuo ge	z u o g e
deihl	戴尔	dai er	d a i e r
orchardson	奥查森	ao cha sen	a o c h a s e n
mcguinty	麦金蒂	mai jin di	m a i j i n d i
wedeman	韦德曼	wei de man	w e i d e m a n
mccarty	麦卡蒂	mai ka di	m a i k a d i
mcclellan	麦克莱伦	mai ke lai lun	m a i k e l a i l u n
donleavy	唐利维	tang li wei	t a n g l i w e i
bogardus	博加德斯	bo jia de si	b o j i a d e s i
sanford	桑福德	sang fu de	s a n g f u d e
helmkamp	赫尔姆坎普	he er mu kan pu	h e e r m u k a n p u
yates	耶茨	ye ci	y e c i
oberdorfer	奥伯多弗	ao bo duo fu	a o b o d u o f u
ogrady	奥格雷迪	ao ge lei di	a o g e l e i d i
stukus	斯图克斯	si tu ke si	s i t u k e s i
grego	格雷戈	ge lei ge	g e l e i g e
cazenov	卡齐诺夫	ka qi nuo fu	k a q i n u o f u
dewesse	德威斯	de wei si	d e w e i s i
menel	梅内尔	mei nei er	m e i n e i e r
lexow	莱克索	lai ke suo	l a i k e s u o
mcvaugh	麦克沃	mai ke wo	m a i k e w o
dakotah	达科塔	da ke ta	d a k e t a
borel	博雷尔	bo lei er	b o l e i e r
robbio	罗比奥	luo bi ao	l u o b i a o
goulard	戈拉德	ge la de	g e l a d e
morrisey	莫里西	mo li xi	m o l i x i
schlaudemann	施劳德曼	shi lao de man	s h i l a o d e m a n
osnos	奥斯诺斯	ao si nuo si	a o s i n u o s i
guinard	吉纳德	ji na de	j i n a d e
hordern	霍登	huo deng	h u o d e n g
macneill	麦克尼尔	mai ke ni er	m a i k e n i e r
branigan	布兰尼根	bu lan ni gen	b u l a n n i g e n
palmiter	帕尔米特	pa er mi te	p a e r m i t e
kaitlynn	凯特琳	kai te lin	k a i t e l i n
heimberger	亨伯格	heng bo ge	h e n g b o g e
chervokas	彻沃卡斯	che wo ka si	c h e w o k a s i
cam	卡姆	ka mu	k a m u
giersbach	吉尔斯巴赫	ji er si ba he	j i e r s i b a h e
